parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
MP10,Parque D.Pedro II,2018-09-10,16,2018-09-10T15:59:59Z,seg,42,-,Sim
MP10,Parque D.Pedro II,2018-09-10,17,2018-09-10T16:59:59Z,seg,58,-,Sim
MP10,Parque D.Pedro II,2018-09-10,18,2018-09-10T17:59:59Z,seg,47,-,Sim
MP10,Parque D.Pedro II,2018-09-10,19,2018-09-10T18:59:59Z,seg,38,-,Sim
MP10,Parque D.Pedro II,2018-09-10,20,2018-09-10T19:59:59Z,seg,25,-,Sim
MP10,Parque D.Pedro II,2018-09-10,21,2018-09-10T20:59:59Z,seg,19,-,Sim
MP10,Parque D.Pedro II,2018-09-10,22,2018-09-10T21:59:59Z,seg,24,-,Sim
MP10,Parque D.Pedro II,2018-09-10,23,2018-09-10T22:59:59Z,seg,30,-,Sim
MP10,Parque D.Pedro II,2018-09-10,24,2018-09-10T23:59:59Z,seg,14,-,Sim
MP10,Parque D.Pedro II,2018-09-11,1,2018-09-11T00:59:59Z,ter,26,-,Sim
MP10,Parque D.Pedro II,2018-09-11,2,2018-09-11T01:59:59Z,ter,19,-,Sim
MP10,Parque D.Pedro II,2018-09-11,3,2018-09-11T02:59:59Z,ter,12,-,Sim
MP10,Parque D.Pedro II,2018-09-11,4,2018-09-11T03:59:59Z,ter,25,-,Sim
MP10,Parque D.Pedro II,2018-09-11,5,2018-09-11T04:59:59Z,ter,7,-,Sim
MP10,Parque D.Pedro II,2018-09-11,6,2018-09-11T05:59:59Z,ter,20,-,Sim
MP10,Parque D.Pedro II,2018-09-11,7,2018-09-11T06:59:59Z,ter,16,-,Sim
MP10,Parque D.Pedro II,2018-09-11,8,2018-09-11T07:59:59Z,ter,18,-,Sim
MP10,Parque D.Pedro II,2018-09-11,9,2018-09-11T08:59:59Z,ter,15,-,Sim
MP10,Parque D.Pedro II,2018-09-11,10,2018-09-11T09:59:59Z,ter,33,-,Sim
MP10,Parque D.Pedro II,2018-09-11,11,2018-09-11T10:59:59Z,ter,37,-,Sim
MP10,Parque D.Pedro II,2018-09-11,12,2018-09-11T11:59:59Z,ter,29,-,Sim
MP10,Parque D.Pedro II,2018-09-11,13,2018-09-11T12:59:59Z,ter,39,-,Sim
MP10,Parque D.Pedro II,2018-09-11,14,2018-09-11T13:59:59Z,ter,40,-,Sim
MP10,Parque D.Pedro II,2018-09-11,15,2018-09-11T14:59:59Z,ter,31,-,Sim
MP10,Parque D.Pedro II,2018-09-11,16,2018-09-11T15:59:59Z,ter,51,-,Sim
MP10,Parque D.Pedro II,2018-09-11,17,2018-09-11T16:59:59Z,ter,37,-,Sim
MP10,Parque D.Pedro II,2018-09-11,19,2018-09-11T18:59:59Z,ter,39,-,Sim
MP10,Parque D.Pedro II,2018-09-11,20,2018-09-11T19:59:59Z,ter,27,-,Sim
MP10,Parque D.Pedro II,2018-09-11,21,2018-09-11T20:59:59Z,ter,31,-,Sim
MP10,Parque D.Pedro II,2018-09-11,22,2018-09-11T21:59:59Z,ter,16,-,Sim
MP10,Parque D.Pedro II,2018-09-11,23,2018-09-11T22:59:59Z,ter,18,-,Sim
MP10,Parque D.Pedro II,2018-09-11,24,2018-09-11T23:59:59Z,ter,17,-,Sim
